keyword,volume_mensuel,kd,intent,content_type,priorite,status,slug,notes
où regarder la Ligue 1 en France,,, transactionnel,guide,1,à faire,ou-regarder-ligue-1-2026,Priorité absolue - fort volume
Canal+ vs DAZN lequel choisir,,,commercial,comparatif,1,à faire,canal-plus-vs-dazn-lequel-choisir,Très fort intent d'achat
meilleure offre foot pas cher 2026,,,commercial,comparatif,1,à faire,meilleure-offre-foot-pas-cher-2026,Modificateur "pas cher" = intent précis
Coupe du Monde 2026 chaîne TV France,,,transactionnel,guide,1,à faire,coupe-du-monde-2026-chaine-tv-france,Pic de trafic juin 2026 - à publier mai 2026
comment regarder foot sans abonnement,,,transactionnel,guide,1,à faire,foot-gratuit-sans-abonnement-2026,Fort volume - lecteurs budget réduit
où regarder la Premier League en France,,,transactionnel,guide,1,publié,ou-regarder-premier-league-france,Déjà publié
où regarder la Liga en France,,,transactionnel,guide,1,publié,ou-regarder-liga-france,Déjà publié
où regarder la Serie A en France,,,transactionnel,guide,1,publié,ou-regarder-serie-a-france,Déjà publié
où regarder la Bundesliga en France,,,transactionnel,guide,1,publié,bundesliga-chaine-tv-france,Déjà publié
Champions League chaîne TV France,,,transactionnel,guide,1,publié,champions-league-chaine-tv-france,Déjà publié
Europa League chaîne TV France,,,transactionnel,guide,1,publié,europa-league-chaine-tv-france,Déjà publié
D1 Féminine chaîne TV France,,,transactionnel,guide,1,publié,d1-feminine-arkema-chaine-tv,Déjà publié
abonnement foot 2026,,,commercial,guide,1,publié,abonnement-foot-2026-quelle-chaine-choisir,Déjà publié
Canal+ numéro chaîne box,,,navigational,guide,2,publié,canal-plus-numero-chaine-box,Déjà publié
beIN Sports numéro chaîne box,,,navigational,guide,2,publié,bein-sports-numero-chaine-box,Déjà publié
Ligue 1 2026 chaîne TV,,,transactionnel,guide,1,publié,ligue-1-chaine-tv-2026,Déjà publié
guide chaînes foot France 2026,,,informationnel,guide,2,à faire,guide-chaines-foot-france-2026,Angle "quelle chaîne diffuse quoi" - différent de l'article abonnements
droits TV foot France histoire,,,informationnel,editorial,3,à faire,droits-tv-foot-france-histoire,Autorité thématique - bon pour EEAT
pourquoi les droits TV du foot changent,,,informationnel,editorial,3,à faire,droits-tv-foot-changent-chaîne,Expertise - bon signal EEAT
regarder foot télévision guide complet,,,informationnel,guide,2,à faire,regarder-foot-television-guide-2026,Broad - utile si long et qualitatif
Coupe du Monde 2026 groupes équipes,,,informationnel,editorial,1,à faire,coupe-du-monde-2026-groupes-favoris,Pic CdM - à publier avant juin 2026
Coupe du Monde 2026 équipe de France,,,informationnel,editorial,1,à faire,equipe-de-france-coupe-du-monde-2026,Fort volume - à publier avant juin 2026
meilleurs buteurs Ligue 1 2025-2026,,,informationnel,liste,2,à faire,meilleurs-buteurs-ligue-1-2025-2026,Classement - actualiser chaque mois
meilleurs gardiens monde 2026,,,informationnel,liste,3,à faire,meilleurs-gardiens-monde-2026,Inclure Navas (sous-côté - voice.md)
Thomas Müller carrière stats,,,informationnel,editorial,3,à faire,thomas-muller-carriere-raumdeuter,Sous-côté - voice.md hot take 14
George Best citations vie légendaire,,,informationnel,editorial,3,à faire,george-best-citations-legendes,stories.md section dédiée
Ribéry carrière sous-estimée,,,informationnel,editorial,3,à faire,ribery-carriere-sous-estimee,hot take 12 - à manier avec soin
VAR foot pour ou contre,,,informationnel,editorial,3,à faire,var-foot-pour-contre-analyse,hot take 5 - editorial assumé
billetterie dynamique foot problème,,,informationnel,editorial,3,à faire,billetterie-dynamique-foot-probleme,hot take 1 - editorial fort
Ligue 2 meilleures surprises 2025-2026,,,informationnel,editorial,3,à faire,ligue-2-surprises-saison-2025-2026,hot take 4 - Ligue 2 plus belle que L1
Black Friday abonnements foot 2026,,,commercial,guide,1,à faire,black-friday-abonnements-foot-2026,Saisonnier - publier novembre 2026
Bundesliga comment regarder France 2026,,,transactionnel,guide,2,publié,bundesliga-chaine-tv-france,Déjà couvert dans article Bundesliga existant
Conference League chaîne TV France,,,transactionnel,guide,1,à faire,conference-league-chaine-tv-france,Manquant - concurrence filleul pour Canal+
où regarder Ligue 2 en France,,,transactionnel,guide,2,à faire,ou-regarder-ligue-2-france,Fort potentiel - foot populaire
Coupe de France chaîne TV,,,transactionnel,guide,2,à faire,coupe-de-france-chaine-tv-2026,France TV - bon pour signal service public
Nations League UEFA chaîne TV,,,transactionnel,guide,2,à faire,nations-league-uefa-chaine-tv-france,À publier avant finale juin 2026
OM prochain match programme TV,,,transactionnel,guide,2,à faire,om-programme-tv-matchs-2025-2026,Evergreen - supporter OM = Adrien
PSG prochain match chaîne TV,,,transactionnel,guide,2,à faire,psg-programme-tv-matchs-2025-2026,Fort volume - à traiter avec neutralité
Bundesliga DAZN ou beIN Sports France,,,transactionnel,guide,2,à faire,bundesliga-dazn-bein-sports-france,Ambiguité de droits - article clarification utile
